name,units,count(units),group_concat(comment),column_name
Al,%,260,"of total lithogenic material,particulate,particulate,particulate,particulate,particulate,particulate,particulate,particulate,particulate,particulate,total,residues,leachates,total,residues,total,residues,lower value,upper value,27Al,27Al,detection limit 0.2 ppm,leached,residue,mass %,fraction < 2mm, detection limit 10 ppm,fraction < 2mm, detection limit 0.5 ppm,fraction < 2mm, detection limit 0.2 ppm,fraction < 2mm, detection limit 10 ppm,fraction < 2mm, detection limit 300 ppm,wt. %,concentration of aluminium,Aluminum",pal
Al e,±,4,"Reproducibility: very good,Reproducibility: very good,Reproducibility: very good",pal_sd
Al flux,%,9,"particle size < 1 mm,particle size < 1 mm,particle size < 1 mm,particle size < 1 mm,particle size < 1 mm,particle size < 1 mm,particle size < 1 mm,particle size < 1 mm,particle size < 1 mm",pal
Al flux,mg/m**2/day,43,"size fraction < 1 mm,size fraction < 1 mm,size fraction < 1 mm,size fraction < 1 mm,size fraction < 1 mm,size fraction < 1 mm,size fraction < 1 mm",pal
Al flux,µmol/cm**2/a,8,,pal
Al part std dev,±,2,,pal_sd
Al std dev,±,14,1 sigma,pal_sd
Al unc,±,3,measured in sediment (grain size <63 µm),pal_sd
Al_QC,unitless,1,quality control flag,pal_qc
Ann mass flux,g/m**2/a,97,"mass flux,Preserved vertical flux",mass_total
BPC flux,mg/m**2/day,1,,carbon_total
BSi_mass_flux,mg m-2 d-1,56,"<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm,<1mm",psi
BSi_mass_flux_quality_control,unitless,56,"quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux,quality flag for particulate biogenic silicon mass flux",psi_qc
