varname,conversion_factor,final_unit
duration,0.04167,days
carbon_total,12.01,mg m-2 d-1
poc,12.01,mg m-2 d-1
pic,12.01,mg m-2 d-1
pon,14.007,mg m-2 d-1
pop,30.974,mg m-2 d-1
opal,1,mg m-2 d-1
psi,28.085,mg m-2 d-1
psio2,60.083,mg m-2 d-1
psi_oh_4,94.097,mg m-2 d-1
pal,26.982,mg m-2 d-1
chl,892.54,mg m-2 d-1
pheop,1,mg m-2 d-1
caco3,100.0869,mg m-2 d-1
ca,1,mg m-2 d-1
fe,55.845,mg m-2 d-1
mn,1,mg m-2 d-1
ba,137.327,mg m-2 d-1
lithogenics,1,mg m-2 d-1
detrital,1,mg m-2 d-1
ti,1,mg m-2 d-1
mass_total,1,mg m-2 d-1
